Geography,Date,Weekly COVID-19 Hospital Admissions
United States,Sep  9 2023,20538
United States,Sep  2 2023,19068
United States,Aug 26 2023,17397
United States,Aug 19 2023,15073
United States,Aug 12 2023,12706
United States,Aug  5 2023,10455
United States,Jul 29 2023,9081
United States,Jul 22 2023,8064
United States,Jul 15 2023,7183
United States,Jul  8 2023,6464
United States,Jul  1 2023,6481
United States,Jun 24 2023,6314
United States,Jun 17 2023,6628
United States,Jun 10 2023,6917
United States,Jun  3 2023,7409
United States,May 27 2023,7796
United States,May 20 2023,8405
United States,May 13 2023,9299
United States,May  6 2023,9693
United States,Apr 29 2023,10163
United States,Apr 22 2023,11792
United States,Apr 15 2023,13227
United States,Apr  8 2023,14412
United States,Apr  1 2023,15776
United States,Mar 25 2023,17171
United States,Mar 18 2023,18135
United States,Mar 11 2023,20170
United States,Mar  4 2023,22338
United States,Feb 25 2023,23995
United States,Feb 18 2023,25427
United States,Feb 11 2023,26380
United States,Feb  4 2023,26455
United States,Jan 28 2023,28253
United States,Jan 21 2023,31596
United States,Jan 14 2023,37505
United States,Jan  7 2023,44414
United States,Dec 31 2022,44474
United States,Dec 24 2022,38989
United States,Dec 17 2022,36641
United States,Dec 10 2022,34932
United States,Dec  3 2022,33883
United States,Nov 26 2022,26461
United States,Nov 19 2022,24132
United States,Nov 12 2022,23803
United States,Nov  5 2022,23590
United States,Oct 29 2022,23311
United States,Oct 22 2022,22776
United States,Oct 15 2022,22887
United States,Oct  8 2022,23560
United States,Oct  1 2022,24293
United States,Sep 24 2022,26849
United States,Sep 17 2022,28916
United States,Sep 10 2022,31571
United States,Sep  3 2022,34546
United States,Aug 27 2022,36922
United States,Aug 20 2022,38156
United States,Aug 13 2022,41113
United States,Aug  6 2022,42813
United States,Jul 30 2022,44026
United States,Jul 23 2022,44728
United States,Jul 16 2022,42572
United States,Jul  9 2022,38865
United States,Jul  2 2022,35747
United States,Jun 25 2022,32756
United States,Jun 18 2022,30421
United States,Jun 11 2022,29495
United States,Jun  4 2022,28200
United States,May 28 2022,26471
United States,May 21 2022,24511
United States,May 14 2022,20706
United States,May  7 2022,17451
United States,Apr 30 2022,14460
United States,Apr 23 2022,12314
United States,Apr 16 2022,10740
United States,Apr  9 2022,9998
United States,Apr  2 2022,10206
United States,Mar 26 2022,11656
United States,Mar 19 2022,14068
United States,Mar 12 2022,18284
United States,Mar  5 2022,25201
United States,Feb 26 2022,34543
United States,Feb 19 2022,48873
United States,Feb 12 2022,69796
United States,Feb  5 2022,95080
United States,Jan 29 2022,123532
United States,Jan 22 2022,140550
United States,Jan 15 2022,150674
United States,Jan  8 2022,136105
United States,Jan  1 2022,97672
United States,Dec 25 2021,60932
United States,Dec 18 2021,54535
United States,Dec 11 2021,54929
United States,Dec  4 2021,49846
United States,Nov 27 2021,43277
United States,Nov 20 2021,40902
United States,Nov 13 2021,37482
United States,Nov  6 2021,35252
United States,Oct 30 2021,36647
United States,Oct 23 2021,39608
United States,Oct 16 2021,44271
United States,Oct  9 2021,48697
United States,Oct  2 2021,53938
United States,Sep 25 2021,62572
United States,Sep 18 2021,72545
United States,Sep 11 2021,80166
United States,Sep  4 2021,84235
United States,Aug 28 2021,85785
United States,Aug 21 2021,84035
United States,Aug 14 2021,77625
United States,Aug  7 2021,63486
United States,Jul 31 2021,47726
United States,Jul 24 2021,32850
United States,Jul 17 2021,22691
United States,Jul 10 2021,16800
United States,Jul  3 2021,14073
United States,Jun 26 2021,12821
United States,Jun 19 2021,13222
United States,Jun 12 2021,14599
United States,Jun  5 2021,16351
United States,May 29 2021,20062
United States,May 22 2021,22649
United States,May 15 2021,25870
United States,May  8 2021,30258
United States,May  1 2021,33641
United States,Apr 24 2021,37255
United States,Apr 17 2021,39377
United States,Apr 10 2021,38303
United States,Apr  3 2021,35538
United States,Mar 27 2021,33920
United States,Mar 20 2021,32482
United States,Mar 13 2021,33363
United States,Mar  6 2021,35502
United States,Feb 27 2021,41545
United States,Feb 20 2021,45884
United States,Feb 13 2021,56552
United States,Feb  6 2021,69668
United States,Jan 30 2021,81229
United States,Jan 23 2021,94726
United States,Jan 16 2021,107578
United States,Jan  9 2021,115480
United States,Jan  2 2021,109177
United States,Dec 26 2020,102581
United States,Dec 19 2020,102168
United States,Dec 12 2020,98724
United States,Dec  5 2020,93094
United States,Nov 28 2020,84052
United States,Nov 21 2020,79805
United States,Nov 14 2020,67973
United States,Nov  7 2020,53542
United States,Oct 31 2020,44660
United States,Oct 24 2020,39777
United States,Oct 17 2020,34853
United States,Oct 10 2020,31292
United States,Oct  3 2020,26094
United States,Sep 26 2020,23601
United States,Sep 19 2020,22982
United States,Sep 12 2020,24504
United States,Sep  5 2020,26475
United States,Aug 29 2020,28209
United States,Aug 22 2020,29431
United States,Aug 15 2020,29916
United States,Aug  8 2020,31647
United States,Aug  1 2020,N/A
United States,Jul 25 2020,N/A
United States,Jul 18 2020,N/A
United States,Jul 11 2020,N/A
United States,Jul  4 2020,N/A
United States,Jun 27 2020,N/A
United States,Jun 20 2020,N/A
United States,Jun 13 2020,N/A
United States,Jun  6 2020,N/A
United States,May 30 2020,N/A
United States,May 23 2020,N/A
United States,May 16 2020,N/A
United States,May  9 2020,N/A
United States,May  2 2020,N/A
