0,1,2,3,4,5,6,7,8,9
#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
1,Bitcoin BTC,"$26,593.43",0.01%,0.09%,0.14%,"$518,400,155,192","$6,381,646,177239,986 BTC","19,494,756 BTC",
2,Ethereum ETH,"$1,594.85",0.00%,0.23%,2.13%,"$191,693,305,056","$1,976,388,2591,239,570 ETH","120,228,044 ETH",
3,Tether USDt USDT,$1.00,0.01%,0.00%,0.02%,"$83,221,074,450","$10,925,273,08810,922,997,651 USDT","83,203,741,768 USDT",
4,BNB BNB,$210.74,0.06%,0.00%,2.29%,"$32,416,605,481","$208,022,055987,261 BNB","153,847,380 BNB",
5,XRP XRP,$0.5106,0.04%,0.16%,2.30%,"$27,188,569,467","$360,162,776705,331,466 XRP","53,245,240,268 XRP",
6,USD Coin USDC,$1.00,0.01%,0.00%,0.00%,"$25,780,130,861","$1,430,620,9151,430,360,662 USDC","25,775,441,039 USDC",
7,Dogecoin DOGE,$0.06155,0.05%,0.01%,1.05%,"$8,687,812,397","$106,638,8091,732,416,980 DOGE","141,139,176,384 DOGE",
8,Cardano ADA,$0.2456,0.18%,0.09%,1.87%,"$8,625,160,311","$65,487,074266,638,447 ADA","35,118,371,015 ADA",
9,Solana SOL,$19.51,0.45%,0.61%,2.56%,"$8,053,784,103","$98,451,0115,045,510 SOL","412,747,900 SOL",
10,Toncoin TON,$2.22,0.54%,4.52%,5.41%,"$7,619,948,068","$22,139,1989,971,110 TON","3,431,892,088 TON",
TRONTRX,$0.08,,,,,,,,
DaiDAI,$1.00,,,,,,,,
PolkadotDOT,$4.05,,,,,,,,
PolygonMATIC,$0.52,,,,,,,,
LitecoinLTC,$64.72,,,,,,,,
Shiba InuSHIB,$0.00,,,,,,,,
Wrapped BitcoinWBTC,$26584.92,,,,,,,,
Bitcoin CashBCH,$208.08,,,,,,,,
ChainlinkLINK,$7.11,,,,,,,,
TrueUSDTUSD,$1.00,,,,,,,,
UNUS SED LEOLEO,$3.70,,,,,,,,
AvalancheAVAX,$8.99,,,,,,,,
StellarXLM,$0.11,,,,,,,,
MoneroXMR,$143.04,,,,,,,,
CosmosATOM,$7.05,,,,,,,,
OKBOKB,$42.67,,,,,,,,
UniswapUNI,$4.28,,,,,,,,
BUSDBUSD,$1.00,,,,,,,,
Ethereum ClassicETC,$15.26,,,,,,,,
HederaHBAR,$0.05,,,,,,,,
FilecoinFIL,$3.25,,,,,,,,
Lido DAOLDO,$1.48,,,,,,,,
Internet ComputerICP,$2.95,,,,,,,,
MantleMNT,$0.40,,,,,,,,
CronosCRO,$0.05,,,,,,,,
AptosAPT,$5.29,,,,,,,,
MakerMKR,$1280.81,,,,,,,,
VeChainVET,$0.02,,,,,,,,
QuantQNT,$90.06,,,,,,,,
NEAR ProtocolNEAR,$1.11,,,,,,,,
ArbitrumARB,$0.82,,,,,,,,
OptimismOP,$1.29,,,,,,,,
AaveAAVE,$62.37,,,,,,,,
The GraphGRT,$0.09,,,,,,,,
AlgorandALGO,$0.10,,,,,,,,
USDDUSDD,$1.00,,,,,,,,
XDC NetworkXDC,$0.05,,,,,,,,
ImmutableIMX,$0.58,,,,,,,,
StacksSTX,$0.47,,,,,,,,
MultiversXEGLD,$25.00,,,,,,,,
Axie InfinityAXS,$4.57,,,,,,,,
EOSEOS,$0.58,,,,,,,,
Bitget TokenBGB,$0.45,,,,,,,,
TezosXTZ,$0.66,,,,,,,,
Theta NetworkTHETA,$0.63,,,,,,,,
The SandboxSAND,$0.30,,,,,,,,
Bitcoin SVBSV,$31.32,,,,,,,,
InjectiveINJ,$6.98,,,,,,,,
RenderRNDR,$1.56,,,,,,,,
DecentralandMANA,$0.30,,,,,,,,
THORChainRUNE,$1.68,,,,,,,,
SynthetixSNX,$1.97,,,,,,,,
FantomFTM,$0.19,,,,,,,,
NeoNEO,$7.37,,,,,,,,
KavaKAVA,$0.63,,,,,,,,
Pax DollarUSDP,$0.99,,,,,,,,
Tether GoldXAUt,$1925.78,,,,,,,,
PAX GoldPAXG,$1914.17,,,,,,,,
eCashXEC,$0.00,,,,,,,,
FlowFLOW,$0.45,,,,,,,,
Curve DAO TokenCRV,$0.52,,,,,,,,
KuCoin TokenKCS,$4.50,,,,,,,,
ZcashZEC,$26.54,,,,,,,,
ChilizCHZ,$0.06,,,,,,,,
Rocket PoolRPL,$21.40,,,,,,,,
IOTAMIOTA,$0.15,,,,,,,,
ApeCoinAPE,$1.12,,,,,,,,
ConfluxCFX,$0.13,,,,,,,,
Frax ShareFXS,$5.41,,,,,,,,
Huobi TokenHT,$2.47,,,,,,,,
MinaMINA,$0.38,,,,,,,,
GateTokenGT,$3.88,,,,,,,,
CasperCSPR,$0.03,,,,,,,,
BitTorrent(New)BTT,$0.00,,,,,,,,
KlaytnKLAY,$0.11,,,,,,,,
Terra ClassicLUNC,$0.00,,,,,,,,
SuiSUI,$0.45,,,,,,,,
dYdXDYDX,$1.90,,,,,,,,
GalaGALA,$0.01,,,,,,,,
Trust Wallet TokenTWT,$0.78,,,,,,,,
CompoundCOMP,$40.14,,,,,,,,
APENFTNFT,$0.00,,,,,,,,
NexoNEXO,$0.55,,,,,,,,
GMXGMX,$34.10,,,,,,,,
DashDASH,$26.69,,,,,,,,
Gemini DollarGUSD,$1.00,,,,,,,,
WOO NetworkWOO,$0.17,,,,,,,,
Oasis NetworkROSE,$0.04,,,,,,,,
FlareFLR,$0.01,,,,,,,,
ZilliqaZIL,$0.02,,,,,,,,
