"Laikotarpis","Rodiklis","Amžius","Lytis","Nukentėjusiųjų tipas","Matavimo vienetai","Reikšmė"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","iki 6 metų","Vyrai","Sužeistieji","asmenys","41"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","iki 6 metų","Vyrai","Sužeistieji","asmenys","41"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","iki 6 metų","Vyrai","Sužeistieji","asmenys","47"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","6–9","Vyrai","Sužeistieji","asmenys","61"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","6–9","Vyrai","Sužeistieji","asmenys","51"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","6–9","Vyrai","Sužeistieji","asmenys","49"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","10–14","Vyrai","Sužeistieji","asmenys","77"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","10–14","Vyrai","Sužeistieji","asmenys","97"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","10–14","Vyrai","Sužeistieji","asmenys","101"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","15–17","Vyrai","Sužeistieji","asmenys","110"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","15–17","Vyrai","Sužeistieji","asmenys","132"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","15–17","Vyrai","Sužeistieji","asmenys","137"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","18–20","Vyrai","Sužeistieji","asmenys","127"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","18–20","Vyrai","Sužeistieji","asmenys","115"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","18–20","Vyrai","Sužeistieji","asmenys","99"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","21–24","Vyrai","Sužeistieji","asmenys","157"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","21–24","Vyrai","Sužeistieji","asmenys","140"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","21–24","Vyrai","Sužeistieji","asmenys","120"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","25–34","Vyrai","Sužeistieji","asmenys","358"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","25–34","Vyrai","Sužeistieji","asmenys","365"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","25–34","Vyrai","Sužeistieji","asmenys","341"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","35–44","Vyrai","Sužeistieji","asmenys","270"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","35–44","Vyrai","Sužeistieji","asmenys","292"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","35–44","Vyrai","Sužeistieji","asmenys","279"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","45–54","Vyrai","Sužeistieji","asmenys","221"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","45–54","Vyrai","Sužeistieji","asmenys","198"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","45–54","Vyrai","Sužeistieji","asmenys","224"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","55–64","Vyrai","Sužeistieji","asmenys","202"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","55–64","Vyrai","Sužeistieji","asmenys","196"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","55–64","Vyrai","Sužeistieji","asmenys","190"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","65 ir vyresni","Vyrai","Sužeistieji","asmenys","162"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","65 ir vyresni","Vyrai","Sužeistieji","asmenys","144"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","65 ir vyresni","Vyrai","Sužeistieji","asmenys","166"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","iki 6 metų","Vyrai","Žuvusieji","asmenys",
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","iki 6 metų","Vyrai","Žuvusieji","asmenys","1"
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","iki 6 metų","Vyrai","Žuvusieji","asmenys",
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","6–9","Vyrai","Žuvusieji","asmenys",
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","6–9","Vyrai","Žuvusieji","asmenys",
"2022","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","6–9","Vyrai","Žuvusieji","asmenys","1"
"2020","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","10–14","Vyrai","Žuvusieji","asmenys","1"
"2021","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","10–14","Vyrai","Žuvusieji","asmenys","1"
