"Laikotarpis","Rodiklis","Nukentėjusiųjų tipas","Matavimo vienetai","Reikšmė"
"2022M12","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","6"
"2022M11","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","12"
"2022M10","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","19"
"2022M09","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","12"
"2022M08","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","12"
"2022M07","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","10"
"2022M06","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","10"
"2022M05","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","4"
"2022M04","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","14"
"2022M03","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","4"
"2022M02","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","12"
"2022M01","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","7"
"2021M12","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","8"
"2021M11","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","18"
"2021M10","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","18"
"2021M09","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","10"
"2021M08","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","19"
"2021M07","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","13"
"2021M06","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","9"
"2021M05","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","13"
"2021M04","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","7"
"2021M03","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","8"
"2021M02","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","8"
"2021M01","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","16"
"2020M12","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","20"
"2020M11","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","20"
"2020M10","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","13"
"2020M09","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","26"
"2020M08","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","14"
"2020M07","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","12"
"2020M06","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","10"
"2020M05","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","18"
"2020M04","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","2"
"2020M03","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","13"
"2020M02","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","9"
"2020M01","Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius","Žuvusieji","asmenys","19"
