Laikotarpis,Rodiklis,Kelių naudotojai,Nukentėjusysis,Nukentėjusiųjų tipas,Matavimo vienetai,Reikšmė
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,667
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,629
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,704
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,52
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,28
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Pėstieji,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,31
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,379
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,413
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,401
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,15
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,11
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,5
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,69
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,76
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,72
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,1
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,1
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,1
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,204
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,257
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Visi nukentėjusieji,Sužeistieji,kelių naudotojai,228
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,17
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,10
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Visi nukentėjusieji,Žuvusieji,kelių naudotojai,13
