"Laikotarpis","Rodiklis","Kelių įvykis","Matavimo vienetai","Reikšmė"
"2022M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","158"
"2022M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","219"
"2022M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","272"
"2022M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","270"
"2022M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","344"
"2022M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","282"
"2022M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","290"
"2022M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","319"
"2022M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","214"
"2022M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","173"
"2022M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","140"
"2022M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","180"
"2021M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","215"
"2021M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","219"
"2021M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","275"
"2021M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","256"
"2021M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","310"
"2021M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","340"
"2021M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","359"
"2021M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","261"
"2021M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","193"
"2021M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","159"
"2021M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","100"
"2021M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","97"
"2020M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","150"
"2020M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","184"
"2020M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","245"
"2020M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","333"
"2020M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","331"
"2020M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","317"
"2020M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","295"
"2020M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","196"
"2020M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","122"
"2020M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","147"
"2020M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","231"
"2020M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Visi kelių eismo įvykiai","vnt.","237"
