"Laikotarpis","Rodiklis","Kelių įvykis","Matavimo vienetai","Reikšmė"
"2022M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","7"
"2022M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","11"
"2022M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","13"
"2022M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","14"
"2022M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","19"
"2022M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","12"
"2022M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","16"
"2022M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","21"
"2022M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","22"
"2022M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","14"
"2022M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","14"
"2022M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","14"
"2021M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","12"
"2021M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","9"
"2021M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","15"
"2021M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","21"
"2021M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","18"
"2021M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","27"
"2021M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","22"
"2021M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","14"
"2021M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","19"
"2021M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","18"
"2021M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","4"
"2021M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","4"
"2020M12","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","9"
"2020M11","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","20"
"2020M10","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","21"
"2020M09","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","20"
"2020M08","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","26"
"2020M07","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","24"
"2020M06","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","22"
"2020M05","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","20"
"2020M04","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","24"
"2020M03","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","22"
"2020M02","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","19"
"2020M01","Kelių eismo įvykiai, kuriuose nukentėjo žmonės","Dėl neblaivių vairuotojų kaltės","vnt.","12"
