"Indicator","Month","2020","2021","2022"
"Traffic accidents with fatalities","Ascending total",56,40,50
"Traffic accidents with fatalities","January",7,3,5
"Traffic accidents with fatalities","February",4,1,6
"Traffic accidents with fatalities","March",2,4,2
"Traffic accidents with fatalities","April",3,1,5
"Traffic accidents with fatalities","May",3,2,2
"Traffic accidents with fatalities","June",7,7,6
"Traffic accidents with fatalities","July",3,3,3
"Traffic accidents with fatalities","August",7,7,4
"Traffic accidents with fatalities","September",4,2,4
"Traffic accidents with fatalities","October",4,3,3
"Traffic accidents with fatalities","November",7,2,3
"Traffic accidents with fatalities","December",5,5,7
