Markė,Modelis,Metai,Kaina
Volkswagen,Jetta,2018,43790
Chevrolet,Jetta,2015,10194
Chevrolet,Camry,2017,16537
Chevrolet,Silverado,2019,37012
Ford,Civic,2016,36945
Volkswagen,F-150,2016,45609
Chevrolet,F-150,2012,33591
Chevrolet,F-150,2010,36145
Ford,Civic,2014,11993
Volkswagen,Civic,2010,35461
Toyota,Jetta,2011,40607
Volkswagen,Civic,2014,34455
Toyota,F-150,2018,33221
Ford,Civic,2014,47124
Honda,F-150,2016,46386
Ford,Civic,2015,34695
Toyota,Jetta,2011,48551
Ford,Jetta,2016,31502
Chevrolet,F-150,2014,28177
Honda,Silverado,2018,46423
Ford,Silverado,2016,26707
Honda,F-150,2022,28437
Volkswagen,F-150,2010,26247
Volkswagen,Silverado,2015,44714
Honda,Civic,2017,11050
Toyota,Silverado,2022,22161
Honda,Silverado,2012,43625
Toyota,Jetta,2018,13468
Honda,F-150,2013,25077
Chevrolet,Camry,2018,46912
Volkswagen,F-150,2018,23561
Volkswagen,Silverado,2022,21670
Chevrolet,Civic,2014,44547
Toyota,Jetta,2010,31517
Toyota,Camry,2017,48315
Volkswagen,F-150,2015,18640
Honda,Silverado,2018,39703
Honda,Camry,2010,26001
Honda,Civic,2015,16201
Toyota,F-150,2014,30867
Honda,Civic,2013,27444
Toyota,Jetta,2017,13773
Ford,Camry,2020,18727
Toyota,Camry,2012,37191
Ford,Camry,2015,10015
Ford,Camry,2011,14769
Chevrolet,Civic,2010,32792
Honda,Jetta,2019,20126
Volkswagen,Civic,2018,19652
Volkswagen,F-150,2013,36620
Chevrolet,Camry,2011,33521
Volkswagen,Camry,2015,35079
Chevrolet,Camry,2020,39236
Toyota,F-150,2020,48999
Chevrolet,F-150,2013,43349
Toyota,Camry,2015,40895
Honda,Civic,2013,13437
Toyota,Civic,2021,30503
Volkswagen,Camry,2011,17558
Honda,Camry,2018,34299
Honda,Camry,2012,22378
Volkswagen,Civic,2020,11120
Chevrolet,Camry,2014,20792
Toyota,F-150,2018,41904
Honda,F-150,2021,46506
Volkswagen,Jetta,2015,35221
Toyota,Civic,2019,49753
Toyota,Civic,2014,39828
Volkswagen,Silverado,2011,11438
Toyota,F-150,2018,15784
Toyota,Civic,2017,33035
Chevrolet,F-150,2018,49898
Toyota,Civic,2020,32999
Toyota,Civic,2017,26829
Chevrolet,F-150,2019,29862
Volkswagen,Civic,2010,44252
Chevrolet,F-150,2020,26162
Ford,Camry,2016,40691
Honda,F-150,2014,40041
Volkswagen,Civic,2021,40101
Toyota,Jetta,2011,27965
Volkswagen,Civic,2021,34168
Ford,Jetta,2013,44701
Chevrolet,Jetta,2016,43990
Ford,Jetta,2013,25111
Ford,Civic,2014,23963
Honda,Silverado,2011,22872
Ford,Civic,2015,23846
Volkswagen,Jetta,2010,27093
Honda,Jetta,2021,18688
Honda,Camry,2011,37415
Toyota,Jetta,2012,11712
Volkswagen,F-150,2018,46864
Honda,Jetta,2020,25888
Volkswagen,F-150,2021,44508
Volkswagen,Camry,2020,37738
Honda,Silverado,2016,21598
Chevrolet,Camry,2010,39639
Chevrolet,Camry,2012,29651
Volkswagen,Jetta,2021,26427
