"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Miestas","asmenys","1971749"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Lietuvos Respublika","Kaimas","asmenys","895976"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Miestas","asmenys","682767"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Sostinės regionas","Kaimas","asmenys","170889"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Miestas","asmenys","682767"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus apskritis","Kaimas","asmenys","170889"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Miestas","asmenys","16675"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Elektrėnų sav.","Kaimas","asmenys","7902"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Miestas","asmenys","10644"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Šalčininkų r. sav.","Kaimas","asmenys","19399"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Miestas","asmenys","5703"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Širvintų r. sav.","Kaimas","asmenys","9014"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Miestas","asmenys","13690"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Švenčionių r. sav.","Kaimas","asmenys","8430"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Miestas","asmenys","17281"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Trakų r. sav.","Kaimas","asmenys","16404"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Miestas","asmenys","21027"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Ukmergės r. sav.","Kaimas","asmenys","13057"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","593033"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","403"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4714"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","96280"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1288982"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","725087"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","80206"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","55014"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","52059"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2135"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23056"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","13014"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7063"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","5010"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","12550"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","7988"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","12345"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","405107"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","175136"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Miestas","asmenys","3021"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Birštono sav.","Kaimas","asmenys","1066"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Miestas","asmenys","27194"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Jonavos r. sav.","Kaimas","asmenys","14360"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Miestas","asmenys","11517"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kaišiadorių r. sav.","Kaimas","asmenys","17418"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","304459"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13439"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","86593"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","23430"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22727"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9761"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Kaimas","asmenys","15042"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Miestas","asmenys","12286"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Raseinių r. sav.","Kaimas","asmenys","17930"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Miestas","asmenys","237452"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos apskritis","Kaimas","asmenys","98159"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Miestas","asmenys","159034"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos m. sav.","Kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Miestas","asmenys","16675"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Klaipėdos r. sav.","Kaimas","asmenys","46370"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Miestas","asmenys","18362"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kretingos r. sav.","Kaimas","asmenys","19059"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Miestas","asmenys","4173"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Neringos sav.","Kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Miestas","asmenys","17720"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Palangos m. sav.","Kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Miestas","asmenys","5391"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Skuodo r. sav.","Kaimas","asmenys","10200"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Miestas","asmenys","16097"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Šilutės r. sav.","Kaimas","asmenys","22530"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Miestas","asmenys","69310"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės apskritis","Kaimas","asmenys","66404"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Miestas","asmenys","3988"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kalvarijos sav.","Kaimas","asmenys","5872"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Miestas","asmenys","5473"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kazlų Rūdos sav.","Kaimas","asmenys","5423"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Miestas","asmenys","36611"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės sav.","Kaimas","asmenys","17885"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Miestas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Marijampolės r. sav.","Kaimas","asmenys",
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Miestas","asmenys","8262"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Šakių r. sav.","Kaimas","asmenys","17753"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Miestas","asmenys","14976"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Vilkaviškio r. sav.","Kaimas","asmenys","19471"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Miestas","asmenys","127774"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio apskritis","Kaimas","asmenys","83747"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Miestas","asmenys","11115"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Biržų r. sav.","Kaimas","asmenys","11299"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Miestas","asmenys","7038"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Kupiškio r. sav.","Kaimas","asmenys","8997"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Panevėžio m. sav.","Miestas","asmenys","87998"
