Kelių įvykis,Reikšmė,Metai,Menuo
Visi kelių eismo įvykiai,158,2022,12
Visi kelių eismo įvykiai,219,2022,11
Visi kelių eismo įvykiai,272,2022,10
Visi kelių eismo įvykiai,270,2022,09
Visi kelių eismo įvykiai,344,2022,08
Visi kelių eismo įvykiai,282,2022,07
Visi kelių eismo įvykiai,290,2022,06
Visi kelių eismo įvykiai,319,2022,05
Visi kelių eismo įvykiai,214,2022,04
Visi kelių eismo įvykiai,173,2022,03
Visi kelių eismo įvykiai,140,2022,02
Visi kelių eismo įvykiai,180,2022,01
Visi kelių eismo įvykiai,215,2021,12
Visi kelių eismo įvykiai,219,2021,11
Visi kelių eismo įvykiai,275,2021,10
Visi kelių eismo įvykiai,256,2021,09
Visi kelių eismo įvykiai,310,2021,08
Visi kelių eismo įvykiai,340,2021,07
Visi kelių eismo įvykiai,359,2021,06
Visi kelių eismo įvykiai,261,2021,05
Visi kelių eismo įvykiai,193,2021,04
Visi kelių eismo įvykiai,159,2021,03
Visi kelių eismo įvykiai,100,2021,02
Visi kelių eismo įvykiai,97,2021,01
Visi kelių eismo įvykiai,150,2020,12
Visi kelių eismo įvykiai,184,2020,11
Visi kelių eismo įvykiai,245,2020,10
Visi kelių eismo įvykiai,333,2020,09
Visi kelių eismo įvykiai,331,2020,08
Visi kelių eismo įvykiai,317,2020,07
Visi kelių eismo įvykiai,295,2020,06
Visi kelių eismo įvykiai,196,2020,05
Visi kelių eismo įvykiai,122,2020,04
Visi kelių eismo įvykiai,147,2020,03
Visi kelių eismo įvykiai,231,2020,02
Visi kelių eismo įvykiai,237,2020,01
