,Knygos pavadinimas,Autorius,Kaina
0,"Šuniukai loja, vištos kudakuoja ","
","6,96€"
1,Margažiedžių kaimo posmeliai ,"
","6,96€"
2,"Kišenukė. Vėžliukė, kuri norėjo gyventi kaip suau ","
        Florence Seyvos
      ","9,03€"
3,Holokausto postsekuliarumas. Tarp kritikos ir supratimo ,"
        Nerijus Šepetys
      ","18,06€"
4,Užmirštas sodas. Trečioji serijos „Varnų kaimas“ knyga ,"
        Sandra J. Paul
      ","10,15€"
5,"Tadukas, Tadas ir svajonių paukštė ","
        Selemonas Paltanavičius
      ","11,55€"
6,Sužeista katytė ,"
        Holly Webb
      ","6,44€"
7,Sniego sausainis ,"
        E?dvilė
      ","11,13€"
8,Namas žydrame vandenyne ,"
        TJ Klune
      ","18,69€"
9,Kakė Makė ir baisi neteisybė ,"
        Lina Žutautė
      ","9,66€"
10,Pusryčiams suvalgiau saulės ,"
        Michael Holland FLS ir Philip Giordano
      ","14,98€"
11,Nuspalvink ir padovanok drakono mandalą ,"
","4,13€"
12,20 nepaprastų pasaulio stebuklų ,"
        Roberto Morgese
      ","11,69€"
13,Daugiau niekada nesivaikykite vyrų ,"
        Bruce Bryans
      ","5,74€"
14,Dinozaurų istorijos. 5 minučių pasakos ,"
","4,34€"
15,Aš tave myliu. 5 minučių pasakos ,"
","4,34€"
16,Paliekant ego lyderystę ,"
        Paulius Avižinis, Eglė Daunienė
      ","17,46€"
17,Ketinimo galia ,"
        Wayne Dyer
      ","10,81€"
18,Rusijos kampanija. Valonų savanoriai Rytų fronte ,"
        Leon Degrelle
      ","17,71€"
19,Kolymos vargetos ,"
        Varlam Šalamov
      ","15,82€"
20,Aistros ir nuopoliai ,"
        Romas Vainulevičius
      ","15,85€"
21,Kaip tu? Anos dienoraštis apie karą Ukrainoje ,"
        Ana Gin
      ","11,37€"
22,Švytintys perlai. Vienaragiai ,"
","7,98€"
23,Švytintys perlai. Undinės ,"
","7,98€"
24,Europos paukščiai ,"
","21,17€"
25,Nuostabusis Ozo šalies burtininkas ,"
        Lyman Frank Baum
      ","8,96€"
26,Kapitono Granto vaikai ,"
        Jules Verne
      ","19,53€"
27,Aplink pasaulį per 80 dienų ,"
        Jules Verne
      ","8,96€"
28,Triukšmas ,"
        Daniel Kahneman, Olivier Sibony, Cass R. Sunstein
      ","15,36€"
29,Tigriukas. Mano ypatingas spalvinimo bloknotas ,"
","3,81€"
30,Sveikatos abėcėlė ,"
        Borisov Uveidov
      ","6,44€"
31,Sraigė. Vonios knyga. SU GARSU ,"
","5,35€"
32,Naujieji gydūnai ,"
        Robert Sebastian
      ","10,22€"
33,Meškėnas. Mano ypatingas spalvinimo bloknotas ,"
","3,81€"
34,Lama. Vonios knyga. SU GARSU ,"
","5,35€"
